writer_id,sample_id,stroke_id,point_id,x,y,t,pressure,penDown
user36,sample88,0,0,296.4000244140625,162.37501525878906,1765305166.812,0.5,True
user36,sample88,0,1,305.20001220703125,145.5749969482422,1765305166.988,0.5,True
user36,sample88,0,2,317.20001220703125,122.37503051757812,1765305166.993,0.5,True
user36,sample88,0,3,330.79998779296875,98.37503051757812,1765305167.001,0.5,True
user36,sample88,0,4,348.4000244140625,70.37503051757812,1765305167.008,0.5,True
user36,sample88,0,5,368.4000244140625,42.375030517578125,1765305167.015,0.5,True
user36,sample88,0,6,387.5999755859375,19.975006103515625,1765305167.021,0.5,True
user36,sample88,0,7,403.5999755859375,1.5749969482421875,1765305167.029,0.5,True
user36,sample88,1,0,432.4000244140625,126.37503051757812,1765305168.039,0.5,True
user36,sample88,2,0,432.4000244140625,126.37503051757812,1765305168.263,0.5,True
user36,sample88,2,1,426,134.37503051757812,1765305168.319,0.5,True
user36,sample88,2,2,414,148.77500915527344,1765305168.328,0.5,True
user36,sample88,2,3,401.20001220703125,164.77500915527344,1765305168.334,0.5,True
user36,sample88,2,4,378,199.1750030517578,1765305168.347,0.5,True
user36,sample88,2,5,369.20001220703125,217.5749969482422,1765305168.354,0.5,True
user36,sample88,2,6,364.4000244140625,227.97499084472656,1765305168.361,0.5,True
user36,sample88,2,7,363.5999755859375,235.1750030517578,1765305168.368,0.5,True
user36,sample88,2,8,363.5999755859375,241.5749969482422,1765305168.375,0.5,True
user36,sample88,2,9,367.5999755859375,247.97499084472656,1765305168.382,0.5,True
user36,sample88,2,10,374,251.97499084472656,1765305168.389,0.5,True
user36,sample88,2,11,383.5999755859375,254.37501525878906,1765305168.396,0.5,True
user36,sample88,2,12,396.4000244140625,254.37501525878906,1765305168.403,0.5,True
user36,sample88,2,13,417.20001220703125,252.77500915527344,1765305168.41,0.5,True
user36,sample88,2,14,446.79998779296875,247.1750030517578,1765305168.417,0.5,True
user36,sample88,2,15,488.4000244140625,234.37501525878906,1765305168.424,0.5,True
user36,sample88,2,16,523.5999755859375,220.77500915527344,1765305168.431,0.5,True
user36,sample88,2,17,554.7999877929688,207.1750030517578,1765305168.438,0.5,True
user36,sample88,2,18,578.7999877929688,191.97499084472656,1765305168.445,0.5,True
user36,sample88,2,19,594,181.5749969482422,1765305168.452,0.5,True
user36,sample88,2,20,606,171.97499084472656,1765305168.459,0.5,True
user36,sample88,2,21,610.7999877929688,165.5749969482422,1765305168.466,0.5,True
user36,sample88,2,22,614,160.77500915527344,1765305168.473,0.5,True
user36,sample88,2,23,615.5999755859375,158.37501525878906,1765305168.48,0.5,True
user36,sample88,2,24,615.5999755859375,156.77500915527344,1765305168.487,0.5,True
user36,sample88,2,25,615.5999755859375,155.97499084472656,1765305168.494,0.5,True
user36,sample88,2,26,614.7999877929688,155.1750030517578,1765305168.5,0.5,True
user36,sample88,2,27,612.4000244140625,155.1750030517578,1765305168.508,0.5,True
user36,sample88,2,28,611.5999755859375,155.1750030517578,1765305168.515,0.5,True
user36,sample88,2,29,610,155.1750030517578,1765305168.522,0.5,True
user36,sample88,2,30,608.4000244140625,157.5749969482422,1765305168.529,0.5,True
user36,sample88,2,31,606,159.1750030517578,1765305168.536,0.5,True
user36,sample88,2,32,604.4000244140625,162.37501525878906,1765305168.543,0.5,True
user36,sample88,2,33,602,164.77500915527344,1765305168.549,0.5,True
user36,sample88,2,34,598,168.77500915527344,1765305168.557,0.5,True
user36,sample88,2,35,595.5999755859375,171.1750030517578,1765305168.563,0.5,True
user36,sample88,2,36,594,172.77500915527344,1765305168.571,0.5,True
user36,sample88,2,37,592.4000244140625,172.77500915527344,1765305168.591,0.5,True
user36,sample88,2,38,591.5999755859375,171.1750030517578,1765305168.598,0.5,True
user36,sample88,2,39,589.2000122070312,164.77500915527344,1765305168.605,0.5,True
user36,sample88,2,40,587.5999755859375,160.77500915527344,1765305168.612,0.5,True
user36,sample88,2,41,584.4000244140625,155.97499084472656,1765305168.619,0.5,True
user36,sample88,2,42,581.2000122070312,147.97499084472656,1765305168.626,0.5,True
user36,sample88,2,43,575.5999755859375,139.1750030517578,1765305168.633,0.5,True
user36,sample88,2,44,570,131.1750030517578,1765305168.64,0.5,True
user36,sample88,2,45,566,124.77499389648438,1765305168.647,0.5,True
user36,sample88,2,46,561.2000122070312,120.77499389648438,1765305168.654,0.5,True
user36,sample88,2,47,555.5999755859375,117.57499694824219,1765305168.661,0.5,True
user36,sample88,2,48,550.7999877929688,115.97500610351562,1765305168.668,0.5,True
user36,sample88,2,49,546,114.37503051757812,1765305168.675,0.5,True
user36,sample88,2,50,542.7999877929688,114.37503051757812,1765305168.682,0.5,True
user36,sample88,2,51,538,113.57499694824219,1765305168.689,0.5,True
user36,sample88,2,52,534.7999877929688,113.57499694824219,1765305168.696,0.5,True
user36,sample88,2,53,533.2000122070312,113.57499694824219,1765305168.703,0.5,True
user36,sample88,2,54,531.5999755859375,113.57499694824219,1765305168.71,0.5,True
user36,sample88,2,55,530.7999877929688,114.37503051757812,1765305168.717,0.5,True
user36,sample88,2,56,530.7999877929688,115.17500305175781,1765305168.736,0.5,True
user36,sample88,2,57,530.7999877929688,115.97500610351562,1765305168.743,0.5,True
user36,sample88,2,58,530.7999877929688,116.77499389648438,1765305168.75,0.5,True
user36,sample88,2,59,532.4000244140625,116.77499389648438,1765305168.757,0.5,True
